Weight beta Accuracy_on_winning_bids Accuracy_on_nonwinning_bids
1.1 0.2 0.27027027027 0.975280898876
1.1 0.4 0.284684684685 0.968539325843
1.1 0.6 0.284684684685 0.968539325843
1.1 0.8 0.277477477477 0.970786516854
1.2 0.2 0.454054054054 0.923595505618
1.2 0.4 0.454054054054 0.923595505618
1.2 0.6 0.461261261261 0.919101123596
1.2 0.8 0.461261261261 0.919101123596
1.3 0.2 0.625225225225 0.87191011236
1.3 0.4 0.627027027027 0.874157303371
1.3 0.6 0.630630630631 0.874157303371
1.3 0.8 0.628828828829 0.878651685393
1.4 0.2 0.722522522523 0.813483146067
1.4 0.4 0.722522522523 0.813483146067
1.4 0.6 0.724324324324 0.815730337079
1.4 0.8 0.722522522523 0.815730337079
1.5 0.2 0.781981981982 0.766292134831
1.5 0.4 0.783783783784 0.768539325843
1.5 0.6 0.783783783784 0.770786516854
1.5 0.8 0.781981981982 0.770786516854
1.6 0.2 0.834234234234 0.734831460674
1.6 0.4 0.834234234234 0.734831460674
1.6 0.6 0.836036036036 0.734831460674
1.6 0.8 0.836036036036 0.737078651685
1.7 0.2 0.848648648649 0.707865168539
1.7 0.4 0.848648648649 0.707865168539
1.7 0.6 0.848648648649 0.707865168539
1.7 0.8 0.848648648649 0.707865168539
1.8 0.2 0.864864864865 0.696629213483
1.8 0.4 0.864864864865 0.696629213483
1.8 0.6 0.866666666667 0.694382022472
1.8 0.8 0.866666666667 0.694382022472
1.9 0.2 0.884684684685 0.662921348315
1.9 0.4 0.884684684685 0.662921348315
1.9 0.6 0.884684684685 0.662921348315
1.9 0.8 0.884684684685 0.660674157303
