Weight beta Accuracy_on_winning_bids Accuracy_on_nonwinning_bids
1.1 0.2 0.144144144144 0.984269662921
1.1 0.4 0.153153153153 0.98202247191
1.1 0.6 0.14954954955 0.98202247191
1.1 0.8 0.147747747748 0.98202247191
1.2 0.2 0.383783783784 0.934831460674
1.2 0.4 0.394594594595 0.932584269663
1.2 0.6 0.394594594595 0.932584269663
1.2 0.8 0.392792792793 0.934831460674
1.3 0.2 0.572972972973 0.880898876404
1.3 0.4 0.565765765766 0.880898876404
1.3 0.6 0.565765765766 0.880898876404
1.3 0.8 0.565765765766 0.883146067416
1.4 0.2 0.70990990991 0.813483146067
1.4 0.4 0.708108108108 0.815730337079
1.4 0.6 0.708108108108 0.815730337079
1.4 0.8 0.708108108108 0.815730337079
1.5 0.2 0.805405405405 0.76404494382
1.5 0.4 0.803603603604 0.768539325843
1.5 0.6 0.801801801802 0.770786516854
1.5 0.8 0.803603603604 0.770786516854
1.6 0.2 0.843243243243 0.723595505618
1.6 0.4 0.841441441441 0.730337078652
1.6 0.6 0.83963963964 0.730337078652
1.6 0.8 0.83963963964 0.730337078652
1.7 0.2 0.863063063063 0.701123595506
1.7 0.4 0.861261261261 0.703370786517
1.7 0.6 0.861261261261 0.705617977528
1.7 0.8 0.863063063063 0.707865168539
1.8 0.2 0.882882882883 0.662921348315
1.8 0.4 0.884684684685 0.662921348315
1.8 0.6 0.882882882883 0.665168539326
1.8 0.8 0.881081081081 0.665168539326
1.9 0.2 0.897297297297 0.631460674157
1.9 0.4 0.897297297297 0.631460674157
1.9 0.6 0.897297297297 0.631460674157
1.9 0.8 0.897297297297 0.624719101124
