2 12 12 12 0.03 16 1353738222 6 25 0 1 14 9 12 12 0.04 20 1353738236 6 25 0 1 2 9 12 12 0.05 20 1353738238 6 25 0 1 20 7 12 12 0.07 19 1353738258 6 25 0 1 1 7 12 12 0.08 17 1353738259 6 25 0 1 5 7 12 12 0.09 14 1353738264 6 25 0 1 14 4 11 12 0.1 13 1353738278 6 25 0 1 14 3 9 12 0.11 15 1353738292 6 25 0 1 1 3 9 12 0.12 13 1353738293 6 25 0 1
6 36 36 37 0.03 30 1353881243 22 100 0 1 14 34 36 37 0.04 20 1353881257 22 100 0 1 4 34 36 37 0.05 21 1353881261 22 100 0 1 11 32 36 37 0.06 19 1353881272 22 100 0 1 6 32 36 37 0.07 21 1353881278 22 100 0 1 19 30 35 37 0.08 19 1353881297 22 100 0 1 14 29 34 37 0.09 18 1353881311 22 100 0 1 7 29 33 37 0.1 19 1353881318 22 100 0 1 14 27 31 37 0.11 19 1353881332 22 100 0 1
16 26 30 37 0.12 19 1353881348 22 100 0 1 6 26 30 37 0.13 18 1353881354 22 100 0 1 7 25 29 37 0.14 19 1353881361 22 100 0 1 7 24 29 37 0.15 20 1353881368 22 100 0 1 4 23 28 37 0.16 19 1353881372 22 100 0 1 6 22 27 37 0.17 21 1353881378 22 100 0 1 9 21 27 37 0.18 19 1353881387 22 100 0 1 6 20 26 37 0.19 20 1353881393 22 100 0 1 10 18 26 37 0.2 20 1353881403 22 100 0 1
20 17 23 37 0.22 19 1353881423 22 100 0 1 5 17 22 37 0.23 19 1353881428 22 100 0 1 7 16 21 37 0.24 20 1353881435 22 100 0 1 7 15 20 37 0.25 20 1353881442 22 100 0 1 11 13 18 37 0.26 20 1353881453 22 100 0 1 8 13 18 37 0.27 19 1353881461 22 100 0 1 17 11 17 36 0.28 21 1353881478 22 100 0 1 10 10 15 36 0.29 20 1353881488 22 100 0 1 10 9 14 36 0.3 14 1353881498 22 100 0 1
6 34 37 39 0.07 13 1354169036 6 25 0 1 5 33 37 39 0.08 15 1354169041 6 25 0 1 4 33 37 39 0.09 14 1354169045 6 25 0 1 14 30 36 39 0.1 14 1354169059 6 25 0 1 3 30 36 39 0.11 13 1354169062 6 25 0 1 3 30 36 39 0.12 15 1354169065 6 25 0 1 16 27 35 39 0.13 15 1354169081 6 25 0 1 1 27 35 39 0.14 13 1354169082 6 25 0 1 2 27 34 39 0.16 14 1354169084 6 25 0 1
9 25 33 39 0.17 14 1354169093 6 25 0 1 1 24 33 39 0.18 15 1354169094 6 25 0 1 11 22 30 39 0.19 14 1354169105 6 25 0 1 3 22 30 39 0.2 14 1354169108 6 25 0 1 7 21 30 39 0.21 13 1354169115 6 25 0 1 4 20 29 39 0.22 14 1354169119 6 25 0 1 10 18 27 39 0.23 14 1354169129 6 25 0 1 4 18 27 39 0.24 15 1354169133 6 25 0 1 14 16 24 38 0.25 13 1354169147 6 25 0 1
4 16 24 38 0.26 15 1354169151 6 25 0 1 9 15 22 38 0.27 16 1354169160 6 25 0 1 16 13 19 38 0.28 15 1354169176 6 25 0 1 8 13 18 38 0.29 14 1354169184 6 25 0 1 5 12 17 38 0.3 13 1354169189 6 25 0 1 3 12 17 38 0.31 14 1354169192 6 25 0 1 4 11 16 38 0.32 15 1354169196 6 25 0 1 14 8 15 38 0.33 15 1354169210 6 25 0 1 1 8 14 38 0.34 14 1354169211 6 25 0 1
19 22 24 24 0.03 34 1354505676 3 25 0 1 19 21 24 24 0.04 19 1354505695 3 25 0 1 7 21 23 24 0.05 19 1354505702 3 25 0 1 22 19 22 24 0.07 19 1354505724 3 25 0 1 2 19 22 24 0.08 17 1354505726 3 25 0 1 2 19 22 24 0.09 16 1354505728 3 25 0 1 13 16 21 24 0.1 15 1354505741 3 25 0 1 2 16 21 24 0.11 15 1354505743 3 25 0 1 5 16 21 24 0.12 14 1354505748 3 25 0 1
4 15 21 24 0.13 15 1354505752 3 25 0 1 5 14 20 24 0.14 14 1354505757 3 25 0 1 3 13 20 24 0.15 14 1354505760 3 25 0 1 3 12 19 24 0.16 15 1354505763 3 25 0 1 10 9 19 24 0.17 15 1354505773 3 25 0 1 3 9 19 24 0.18 16 1354505776 3 25 0 1 3 9 19 24 0.19 15 1354505779 3 25 0 1 9 7 16 24 0.2 15 1354505788 3 25 0 1 7 6 16 24 0.21 13 1354505795 3 25 0 1
0 12 12 12 0.01 160 1353775258 16 50 0 1 62 11 11 12 0.02 97 1353775320 16 50 0 1 78 10 10 12 0.03 20 1353775398 16 50 0 1 22 9 10 12 0.04 19 1353775420 16 50 0 1 8 9 10 12 0.05 19 1353775428 16 50 0 1 17 7 10 12 0.06 19 1353775445 16 50 0 1 18 6 9 12 0.07 19 1353775463 16 50 0 1 10 5 9 12 0.08 19 1353775473 16 50 0 1 21 4 7 12 0.1 18 1353775494 16 50 0 1
