Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
priceX,1,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004274410981124747,0.005875649049249244,3.182401039716268,3.2249500803831936,0.9994815445157893,7493.321367834307,695.2179391024642,6798.103428731843,4.995547578556205,0.4634786260683095,4.532068952487895,0.128,0.067,0.12,0.06,27228.0,419787.0,1240787.0,?
priceX,2,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004490069800152608,0.006890861036499599,3.312906618031449,3.740878466275445,0.9993013340542575,7467.28842835037,1777.1878327141178,5690.100595636252,4.978192285566913,1.1847918884760786,3.793400397090835,0.016,0.043,0.02,0.03,27228.0,419787.0,1240787.0,?
priceX,3,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004213249113693984,0.005760222969057333,3.1065391550423147,3.1499208342249903,0.9995077723808578,7489.36349111001,749.3576828890913,6740.005808220919,4.99290899407334,0.4995717885927275,4.493337205480612,0.012,0.041,0.01,0.03,27228.0,419787.0,1240787.0,?
priceX,4,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004266674651137953,0.0057568690872017375,3.108736590784665,3.133746731006463,0.9995102191637161,7428.249987265525,679.240919122355,6749.00906814317,4.952166658177017,0.4528272794149033,4.499339378762113,0.026,0.037,0.01,0.02,27220.0,419787.0,1240787.0,?
priceX,5,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.00406484529927257,0.005510448552109468,2.980145463471149,2.997909477760448,0.9995516254941318,7433.272308296269,628.4479632435269,6804.8243450527425,4.955514872197513,0.41896530882901795,4.536549563368495,0.009,0.019,0.01,0.02,27228.0,419787.0,1240787.0,?
priceX,6,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.0042317472339709,0.006034745135531732,3.1422870022714338,3.27456037445677,0.9994658483563745,7480.491488253666,1071.3069625606283,6409.184525693037,4.986994325502444,0.7142046417070855,4.2727896837953585,0.009,0.018,0.01,0.02,27228.0,419787.0,1240787.0,?
priceX,7,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004308261178170689,0.005817687114703097,3.1688531345991833,3.1187775161504976,0.9995139005689385,7418.514510529956,800.8398599105966,6617.674650619359,4.945676340353304,0.5338932399403977,4.411783100412906,0.01,0.014,0.02,0.01,27228.0,419787.0,1240787.0,?
priceX,8,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004229617050230803,0.005865314697969521,3.1132093756600194,3.2143303125211977,0.9994837125840237,7436.730482673656,750.1471711649726,6686.583311508683,4.957820321782438,0.5000981141099817,4.457722207672456,0.01,0.014,0.0,0.02,27228.0,419787.0,1240787.0,?
priceX,9,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.0041297919700037855,0.005871869133610888,3.0476574092287185,3.1460645455057157,0.9995022076749014,7502.145789496133,1353.1059989597431,6149.03979053639,5.001430526330755,0.9020706659731621,4.099359860357593,0.009,0.015,0.01,0.01,27228.0,419787.0,1240787.0,?
priceX,10,weka.classifiers.functions.LinearRegression,'-S 1 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004415483292404782,0.005785337948134862,3.2424446402380935,3.1250301084212477,0.9995125961924627,7405.502357772443,707.0525384942418,6698.449819278201,4.937001571848295,0.47136835899616125,4.4656332128521345,0.024,0.014,0.01,0.01,27228.0,419787.0,1240787.0,?
priceX,1,weka.classifiers.functions.LinearRegression,'-S 2 -R 1.0E-8',-3364580862046573747,2.01212120702E7,500.0,1500.0,0.004233253113484332,0.005590267303235186,3.1517580244915377,3.0683134472157434,0.9995315034720721,7493.321367834307,637.5718619049217,6855.749505929385,4.995547578556205,0.42504790793661446,4.57049967061959,13.21,0.01,12.88,0.0,26764.0,419787.0,1240787.0,?
priceX,2,weka.classifiers.functions.LinearRegression,'-S 2 -R 1.0E-8',-3364580862046573747,2.01212120703E7,500.0,1500.0,0.004268386342091771,0.005955209420903583,3.1493419903072017,3.2329362857294606,0.9994801741469649,7467.28842835037,713.8406062615653,6753.447822088805,4.978192285566913,0.4758937375077102,4.502298548059203,13.366,0.01,12.98,0.01,26740.0,419787.0,1240787.0,?
